Control Number,Aircraft Make,Engine Make,Part Name,Part Condition,Difficulty Date,Aircraft Model,Engine Model,Part Number,Part Location
2004FA0000097,AGUSTA,ALLSN,SELECTOR VALVE,WORN,1/9/04,A109A2,250C20,1090512431,MLG
2004FA0000088,AMBLP,LYC,CONTROL CABLE,FAILED,1/12/04,A150,IO360A1A,ABC10800318,RUDDER
CA040105005,AMD,GE,DRAIN LINE,CHAFED,12/5/03,FALCON20,CF7002D2,MY20515108003,ENGINE
CA040105008,AMD,GE,SQUAT SWITCH,FROZEN,1/3/04,FALCON20F5,CF7002D2,A23802105,NLG
2004FA0000178,AMRGEN,LYC,SEAL,WORN,1/9/04,AA1B,O235C2C,LW13792,ENGINE
2004FA0000076,AMRGEN,,STIFFENER,CRACKED,1/14/04,AA5B,,510229616,HORIZONTAL STAB
2004FA0000235,AMTR,LYC,STRUCTURE,CHAFED,2/6/04,ALARUSCH2T,O235*,,"STABILATOR"
2004FA0000236,AMTR,LYC,FASTENER,CHAFED,2/6/04,ALARUSCH2T,O235*,,"LT AILERONS"
2004FA0000237,AMTR,LYC,SPINNER,CHAFED,2/6/04,ALARUSCH2T,O235*,,"PROPELLER"
2004FA0000238,AMTR,LYC,RUDDER,MISINSTALLED,2/6/04,ALARUSCH2T,O235*,,"VERTICAL STAB"
2004FA0000239,AMTR,LYC,BUNGEE CYLINDER,STIFF,2/6/04,ALARUSCH2T,O235*,,"NLG STEERING"
2004FA0000240,AMTR,LYC,INDICATOR,INACCURATE,2/6/04,ALARUSCH2T,O235*,,"VOR SYSTEM"
2004FA0000241,AMTR,LYC,STEP,LOOSE,2/6/04,ALARUSCH2T,O235*,,"PAX DOOR"
2004FA0000242,AMTR,LYC,FUEL TANK,LEAKING,2/6/04,ALARUSCH2T,O235*,,"LT WING"
2004FA0000243,AMTR,LYC,BRACKET,BROKEN,2/6/04,ALARUSCH2T,O235*,,"CARB HEAT"
2/20/2004,T210N,TSIO520R,ST566,COCKPIT,,,,
2004FA0000009,CHRIS,LYC,FLYING WIRE,BROKEN,,,,
12/12/2003,A1,O360A1D,TAIL UP,,,,
2004FA0000222,CIRRUS,,CAGE,FAILED,,,,
1/7/2004,SR22,,BA111,AIR FILTER,,,,
N4848M,CURTIS,,CHARGER,BURNED,,,,
10/8/2003,TRVAIR2000,,MASTER BATTERY,,,,
2004FA0000219,CVAC,ALLSN,O-RING,CUT,,,,
1/13/2004,440,501D13,6873725012,TRANSFER TUBE,,,,
CA031222001,DHAV,PWA,WHEEL,FRACTURED,,,,
12/17/2003,DH82,PW123,3006202,MLG,,,,
CA040225007,DHAV,PWA,HINGE,CRACKED,,,,
7/14/2003,DHC2MK1,R985AN14B,C3TE37ND,ELEVATOR,,,,
CA040213007,DHAV,PWA,TORQUE TUBE,CORRODED,,,,
2/10/2004,DHC2MK1,R985AN14B,C2CF209,RUDDER PEDAL,,,,
CA040213008,DHAV,PWA,TORQUE TUBE,WORN,,,,
2/10/2004,DHC2MK1,R985AN14B,C2T7A,ELEVATOR,,,,
CA040213009,DHAV,PWA,HOUSING,CRACKED,,,,
2/10/2004,DHC2MK1,R985AN14B,C2TP11,ELEVATOR,,,,
CA040213010,DHAV,PWA,JACKSCREW,CORRODED,,,,
2004FA0000078,DHAV,PWA,STRUT,CRACKED,,,,
11/20/2003,DHC3,PT6A135,C3UF811,MLG FLOAT,,,,
CA040219005,DHAV,PWA,CONTROL COLUMN,CRACKED,,,,
1/29/2004,DHC3,PT6A34,C3CF3915,COCKPIT,,,,
CA031218004,DHAV,PWA,ROD,WORN,,,,
12/17/2003,DHC3,S3H1G,C3CF4187,ELEVATOR TAB,,,,
CA040127003,DHAV,PWA,CONTROL ARM,CRACKED,,,,
10/1/2003,DHC3,S3H1G,C3CF1709,LT TE FLAP,,,,
